packet_section,period,segment_hint,metric_label,value,packet_state,owner_note
weekly draft,2026-Q4,Creator Pro,risk narrative,tighten copy,working,language pass
forecast tab,2026-Q4,Enterprise Lite,planned outreach,next wave,planning,forecast refresh
board rollup,2026-Q4,Agency,group summary wording,check label,review_copy,rollup context
qa pull,2026-11,Campus Plans,sample ticket check,support review,sample,support audit
prior month,2026-06,Finance Pods,comparison note,archive,archived,historical comparison
working notes,2026-Q4,Retail Plus,watchlist copy,steady,draft,wording only
planning tab,2027-Q1,Builder Cloud,planned outreach,pending,planning,next quarter
packet cover,2026-Q4,All segments,slide count,5,working,deck metadata
support sample,2026-12,Health Teams,ticket sample,QA pull,sample,QA only
finance check,2026-Q4,Starter Teams,account base note,stable,review_copy,context
draft summary,2026-Q4,Growth Shops,risk wording,watch,working,copy idea
old comp,2026-Q3,Agency Seats,last-quarter note,slower,archived,historical comparison
