state_code,reporting_region,region_code,rollout_wave,status,effective_from,effective_to,homeowner_program,snapshot_note
AZ,West,W,W-R3,Paused,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
CA,West,W,W-R3,Paused,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
CO,West,W,W-R3,Open,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
NM,West,W,W-R3,Waitlist,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
NV,West,W,W-R3,Open,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
OR,West,W,W-R3,Waitlist,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
UT,West,W,W-R3,Waitlist,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
WA,West,W,W-R3,Paused,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
CT,Northeast,NE,NE-R2,Open,2026-06-18,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
MA,Northeast,NE,NE-R2,Open,2026-06-18,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
ME,Northeast,NE,NE-R2,Open,2026-06-18,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
NH,Northeast,NE,NE-R2,Open,2026-06-18,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
NJ,Northeast,NE,NE-R2,Open,2026-06-18,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
NY,Northeast,NE,NE-R2,Open,2026-06-18,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
PA,Northeast,NE,NE-R2,Open,2026-06-18,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
RI,Northeast,NE,NE-R2,Open,2026-06-18,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
VT,Northeast,NE,NE-R2,Open,2026-06-18,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
IA,Central,C,C-R1,Waitlist,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
IL,Central,C,C-R1,Open,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
KS,Central,C,C-R1,Waitlist,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
MN,Central,C,C-R1,Open,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
MO,Central,C,C-R1,Waitlist,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
OK,Central,C,C-R1,Waitlist,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
TX,Central,C,C-R1,Open,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
WI,Central,C,C-R1,Open,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
AL,Southeast,SE,SE-R1,Paused,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
FL,Southeast,SE,SE-R1,Open,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
GA,Southeast,SE,SE-R1,Open,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
LA,Southeast,SE,SE-R1,Paused,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
NC,Southeast,SE,SE-R1,Open,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
SC,Southeast,SE,SE-R1,Paused,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
TN,Southeast,SE,SE-R1,Paused,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
VA,Southeast,SE,SE-R1,Open,2026-06-01,,Owner-occupied rooftop storage,Use status effective on the campaign snapshot; reporting region alone does not establish serviceability.
