"label","period","metric_name","value","source","snapshot_status"
"planning deck subtotal","FY2025","gross_revenue_subtotal","1589000","finance_deck_v3","archived"
"board refresh","2025 Q4","forecast_revenue","705000","revops_forecast_2025w51","scenario"
"q4 refresh","2025 Q4","forecast_revenue","690000","revops_forecast_2025w49","scenario"
"holiday comp pull","2024 Q4","net_revenue_estimate","142700","retail_comp_export","reference"
"unit leaderboard","FY2025","units","5500","ops_volume_view","archived"
"regional rollup","FY2025","west_rollup_amount","615000","regional_ops_rollup","draft"
"channel rollup","FY2025","direct_channel_rollup","498000","channel_ops_rollup","draft"
"category snapshot","FY2025","category_rollup","1623000","merch_snapshot","draft"
"draft annual summary","FY2025","management_deck_total","1600000","mara_packet_draft","superseded"
"pipeline pull","2026 Q1","forecast_revenue","486000","sales_pipeline","scenario"
"returns watch","2025 Dec","gross_return_exposure","92500","support_ops","watchlist"
"inventory note","2025 Dec","reserved_units","1840","supply_ops","reference"
