application_id,project_name,organization_id,track_code,program_round,focus_area,public_district,requested_usd,submitted_at,application_status
A26-5176,Northgate Green Alley Partnership,ORG-0478,climate_resilience,spring_2026,green_infrastructure,Harbor Point,20500,2026-02-09T15:00:00-08:00,submitted
A26-8309,Redwood Cool Roof Partnership,ORG-0240,climate_resilience,fall_2025,flood_resilience,River Ward,12500,2026-02-15T08:00:00-08:00,submitted
A26-1778,Crescent Hill Heat Resilience Hubs,ORG-0231,climate_resilience,spring_2026,urban_heat,Oak Junction,34000,2026-02-08T10:00:00-08:00,submitted
A26-1004,Hawthorne Public Art Workshop,ORG-0200,neighborhood_arts,spring_2026,green_infrastructure,River Ward,62000,2026-02-18T10:30:00-08:00,submitted
A26-5019,Glen Park Heat Relief Collaborative,ORG-0354,climate_resilience,spring_2026,urban_heat,West Terrace,56000,2026-03-11T22:34:00-08:00,submitted
A26-3326,Oak Terrace Native Plant Corridor,ORG-0001,climate_resilience,spring_2026,urban_heat,Central Commons,12000,2026-02-24T12:00:00-08:00,submitted
A26-6954,Eastwood Community Solar Library,ORG-0124,climate_resilience,summer_2026,urban_heat,Cedar Basin,56000,2026-03-03T14:00:00-08:00,submitted
A26-8483,Kingston Community Solar Library,ORG-0158,climate_resilience,summer_2026,home_weatherization,West Terrace,45500,2026-03-08T15:30:00-08:00,submitted
A26-3823,Sherwood Green Alley Project,ORG-0023,climate_resilience,spring_2026,urban_heat,Central Commons,28000,2026-02-02T13:00:00-08:00,submitted
A26-6031,College Park Entrepreneur Coaching Circle,ORG-0179,small_business,spring_2026,flood_resilience,Cedar Basin,29500,2026-02-09T11:20:00-08:00,submitted
A26-5042,Harborview Weatherization Collective,ORG-0371,climate_resilience,spring_2026,home_weatherization,West Terrace,28500,2026-02-02T15:10:00-08:00,submitted
A26-5158,Parkview Cooling Commons,ORG-0467,climate_resilience,fall_2025,home_weatherization,North Ridge,56000,2026-02-19T11:40:00-08:00,submitted
A26-5696,Hawthorne Community Solar Library,ORG-0208,climate_resilience,spring_2026,flood_resilience,Cedar Basin,51000,2026-03-06T11:50:00-08:00,submitted
A26-5103,Kingsley Porch Cooling Partnership,ORG-0423,climate_resilience,spring_2026,urban_heat,South Harbor,24000,2026-03-08T21:02:00-08:00,submitted
A26-8474,Franklin Public Art Workshop,ORG-0121,neighborhood_arts,spring_2026,building_cooling,Hill Corridor,23000,2026-03-04T11:20:00-08:00,submitted
A26-5000,West End Resilient Homes Network,ORG-0340,climate_resilience,spring_2026,green_infrastructure,River Ward,34500,2026-03-10T22:39:00-08:00,submitted
A26-9407,Greenfield Creek Restoration Collaborative,ORG-0060,climate_resilience,spring_2026,home_weatherization,North Ridge,24000,2026-01-26T10:10:00-08:00,submitted
A26-5087,Highland Neighborhood Canopy Fund,ORG-0409,climate_resilience,spring_2026,building_cooling,North Ridge,61000,2026-01-23T11:10:00-08:00,submitted
A26-7367,Millbrook Heat Relief Partnership,ORG-0139,climate_resilience,spring_2026,green_infrastructure,Meadow Loop,28000,2026-01-26T16:20:00-08:00,submitted
A26-7111,South Market Home Energy Coaching,ORG-0059,climate_resilience,spring_2026,green_infrastructure,Hill Corridor,17000,2026-03-12T12:20:00-08:00,submitted
A26-9624,Westhaven Stormwater Action Group,ORG-0077,climate_resilience,spring_2026,home_weatherization,Harbor Point,62500,2026-02-01T16:50:00-08:00,submitted
A26-2914,Flood Ready Neighbors,ORG-0088,climate_resilience,spring_2026,flood_resilience,River Ward,52000,2026-03-02T09:35:00-08:00,submitted
A26-5118,West End Community Cooling Hub,ORG-0436,small_business,spring_2026,building_cooling,West Terrace,20000,2026-02-27T13:20:00-08:00,submitted
A26-5993,Laurel Heights Fresh Food Cooperative,ORG-0074,food_security,winter_2025,home_weatherization,East Market,58000,2026-03-02T11:00:00-08:00,pending_correction
A26-5156,Ashland Native Plant Corridor,ORG-0171,climate_resilience,spring_2026,urban_heat,Lake District,42000,2026-01-21T12:10:00-08:00,submitted
A26-5396,Terrace Park Home Energy Coaching,ORG-0070,climate_resilience,spring_2026,green_infrastructure,West Terrace,59500,2026-02-09T14:10:00-08:00,submitted
A26-0896,Belmont Safe Routes Partnership,ORG-0074,urban_mobility,spring_2026,home_weatherization,Central Commons,45500,2026-02-07T08:30:00-08:00,submitted
A26-5144,Glen Park Resilient Homes Network,ORG-0456,youth_learning,spring_2026,building_cooling,East Market,25000,2026-03-13T17:15:00-08:00,submitted
A26-6808,College Park Emergency Cooling Outreach,ORG-0216,climate_resilience,spring_2026,green_infrastructure,Central Commons,35500,2026-02-03T09:10:00-08:00,draft
A26-9016,Lakeside Transit Access Team,ORG-0248,urban_mobility,spring_2026,flood_resilience,Cedar Basin,51000,2026-01-18T14:40:00-08:00,submitted
A26-0199,Belmont Rain Garden Network,ORG-0063,climate_resilience,spring_2026,flood_resilience,South Harbor,34500,2026-02-10T09:10:00-08:00,submitted
A26-5100,Maplewood Drainage Action Group,ORG-0191,climate_resilience,spring_2026,urban_heat,Central Commons,55500,2026-02-02T12:30:00-08:00,submitted
A26-9933,Woodland Community Solar Library,ORG-0262,climate_resilience,spring_2026,building_cooling,Meadow Loop,55500,2026-03-18T14:10:00-08:00,submitted
A26-8457,Monroe Heights Heat Relief Partnership,ORG-0053,climate_resilience,spring_2026,building_cooling,Oak Junction,52000,2026-02-06T12:40:00-08:00,submitted
A26-4984,Hillcrest Building Efficiency Collaborative,ORG-0225,climate_resilience,spring_2026,flood_resilience,Lake District,11500,2026-01-28T14:20:00-08:00,submitted
A26-3108,Northgate Energy Retrofit Collective,ORG-0173,climate_resilience,spring_2026,home_weatherization,North Ridge,55001,2026-02-27T10:30:00-08:00,submitted
A26-5132,Willow Creek Native Plant Corridor,ORG-0448,climate_resilience,spring_2026,home_weatherization,Cedar Basin,18500,2026-02-25T15:30:00-08:00,submitted
A26-6401,Elmwood Creek Restoration Collaborative,ORG-0026,climate_resilience,spring_2026,green_infrastructure,West Terrace,60500,2026-01-15T11:30:00-08:00,submitted
A26-7566,Sherwood Compost Education Network,ORG-0002,climate_resilience,spring_2026,green_infrastructure,Oak Junction,44000,2026-02-04T12:20:00-08:00,submitted
A26-6046,Valley View Emergency Cooling Outreach,ORG-0263,climate_resilience,summer_2026,flood_resilience,North Ridge,19000,2026-03-11T16:40:00-08:00,submitted
A26-1773,Highland Compost Education Network,ORG-0128,climate_resilience,spring_2026,home_weatherization,South Harbor,32000,2026-03-11T09:20:00-08:00,submitted
A26-5093,Elmwood Resilient Homes Network,ORG-0415,climate_resilience,spring_2026,home_weatherization,Oak Junction,37500,2026-03-05T21:48:00-08:00,withdrawn
A26-7021,Greenfield Flood Preparedness Team,ORG-0104,climate_resilience,summer_2026,flood_resilience,Lake District,23500,2026-03-12T10:40:00-08:00,submitted
A26-2619,Willow Creek Weatherization Team,ORG-0272,climate_resilience,spring_2026,home_weatherization,Cedar Basin,30000,2026-03-05T14:20:00-08:00,submitted
A26-5148,Fairview Stormwater Block Initiative,ORG-0458,climate_resilience,winter_2025,flood_resilience,Oak Junction,55000,2026-03-10T20:17:00-08:00,submitted
A26-4531,Franklin Entrepreneur Coaching Circle,ORG-0124,small_business,spring_2026,green_infrastructure,Hill Corridor,14500,2026-03-11T12:20:00-08:00,submitted
A26-5159,Parkview Drainage Action Group,ORG-0468,climate_resilience,spring_2026,green_infrastructure,Hill Corridor,53000,2026-03-05T08:30:00-08:00,submitted
A26-2739,Northgate Artist Mentor Network,ORG-0199,neighborhood_arts,spring_2026,home_weatherization,East Market,47500,2026-01-23T15:30:00-08:00,submitted
