"packet_section","period","route_hint","note_type","value","note_from"
"meeting notes","2026-Q4","Airport Rapid","slide note","airport trips need context","service planning"
"board packet","2026-Q4","Market Spine","district summary","check Core label","planning analyst"
"weather desk","2026-11","Hill Connector","storm note","snow detour week","operations desk"
"event calendar","2026-12","Campus Loop","special event","basketball finals","city events"
"schedule lookahead","2027-Q1","Airport Rapid","planned schedule","next wave","schedule team"
"comparison notes","2026-Q2","Harbor Shuttle","last quarter note","stable","service planning"
"operator watch","2026-Q4","Night Grid","staffing note","late relief risk","dispatcher desk"
"map notes","2026-Q4","All routes","map layer","map layer v2","cartography"
"rider comments","2026-12","Campus Loop","crowding note","standing room reports","customer care"
"packet cover","2026-Q4","All routes","slide count","6","operations admin"
"service alert","2026-10","Crosstown Blue","detour note","bridge work","operations desk"
